"id","hangul","romanization","current_meaning","corrected_meaning","notes"
"w_geot","것","geot","concern","",""
"w_hada","하다","hada","To do","",""
"w_itta","있다","itta","keep","",""
"w_doeda","되다","doeda","to become, to come to be","",""
"w_su","수","su","a move in chess","",""
"w_na","나","na","Me","",""
"w_geu","그","geu","That","",""
"w_eopda","없다","eopda","Do not exist, absent","",""
"w_anta","않다","anta","To not be, to not do","",""
"w_saram","사람","saram","oracle","",""
"w_uri","우리","uri","we,our","",""
"w_i","이","i","this,this thing","",""
"w_anida","아니다","anida","To not be","",""
"w_boda","보다","boda","than","",""
"w_ttae","때","ttae","moment, time, when","",""
"w_geo","거","geo","That thing","",""
"w_gatda","같다","gatda","To be similar","",""
"w_juda","주다","juda","To give, to do for a person","",""
"w_gada","가다","gada","To go","",""
"w_nyeon","년","nyeon","Year","",""
"w_han","한","han","A grudge, rancor","",""
"w_mal","말","mal","man","",""
"w_il","일","il","task","",""
"w_ttaemun","때문","ttaemun","","",""
"w_malhada","말하다","malhada","Speak","",""
"w_geureona","그러나","geureona","but  then","",""
"w_oda","오다","oda","To come","",""
"w_alda","알다","alda","wise","",""
"w_ssi","씨","ssi","Seeds (sow)","",""
"w_geureota","그렇다","geureota","That is right or  yes.","",""
"w_keuda","크다","keuda","To be big, large","",""
"w_tto","또","tto","again","",""
"w_manta","많다","manta","many,much","",""
"w_an","안","an","A plan,proposal,suggestion","",""
"w_jota","좋다","jota","To be good","",""
"w_deo","더","deo","More","",""
"w_batda","받다","batda","catch","",""
"w_geugeot","그것","geugeot","That thing","",""
"w_jip","집","jip","House","",""
"w_naoda","나오다","naoda","to appear in a play or movie","",""
"w_geurigo","그리고","geurigo","And or  and then","",""
"w_munje","문제","munje","case","",""
"w_salda","살다","salda","To live","",""
"w_jeo","저","jeo","polite first person pronoun, me/I","",""
"w_mothada","못하다","mothada","Be inferior, worse than","",""
"w_saenggakada","생각하다","saenggakada","To think","",""
"w_moreuda","모르다","moreuda","To not know","",""
"w_sok","속","sok","The inside","",""
"w_mandeulda","만들다","mandeulda","found","",""
"w_du","두","du","말 斗 (두), the eighth constellation","",""
"w_ap","앞","ap","In front of, before","",""
"w_eotteon","어떤","eotteon","What kind of, what sort of","",""
"w_jal","잘","jal","Well","",""
"w_meokda","먹다","meokda","Go deaf","",""
"w_won","원","won","Goodness! Gracious!","",""
"w_saenggak","생각","saenggak","Thought","",""
"w_eotteota","어떻다","eotteota","how,what.. do you think of","",""
"w_myeong","명","myeong","legend","",""
"w_dasi","다시","dasi","Again","",""
"w_dareun","다른","dareun","","",""
"w_ireon","이런","ireon","Such, like this","",""
"w_yeoja","여자","yeoja","midinette","",""
"w_gae","개","gae","to open","",""
"w_dwi","뒤","dwi","back, rear, reverse","",""
"w_deutda","듣다","deutda","listen to sth, hear sth","",""
"w_da","다","da","All, everything","",""
"w_jom","좀","jom","a  trifle","",""
"w_deulda","들다","deulda","to take in, to bring inside","",""
"w_sipda","싶다","sipda","want,hope","",""
"w_gajida","가지다","gajida","To have or  take or  hold","",""
"w_hamkke","함께","hamkke","Together, with","",""
"w_ai","아이","ai","Oh my god!","",""
"w_mani","많이","mani","A lot","",""
"w_sigan","시간","sigan","Time","",""
"w_neo","너","neo","You","",""
"w_nada","나다","nada","To be born","",""
"w_ireota","이렇다","ireota","Like this","",""
"w_eomeoni","어머니","eomeoni","motherhood","",""
"w_nun","눈","nun","Eyes","",""
"w_mwo","뭐","mwo","Huh? (2) something","",""
"w_daeum","다음","daeum","Next","",""
"w_nugu","누구","nugu","Who","",""
"w_jeon","전","jeon","all,every","",""
"w_got","곳","got","Place","",""
"w_yeoreo","여러","yeoreo","many,various","",""
"w_hana","하나","hana","One","",""
"w_beorida","버리다","beorida","Throw away","",""
"w_wi","위","wi","gizzard","",""
"w_undong","운동","undong","Motion, movement","",""
"w_peosenteu","퍼센트","peosenteu","Percent","",""
"w_hakgyo","학교","hakgyo","School","",""
"w_gajang","가장","gajang","Head of a household","",""
"w_sijakada","시작하다","sijakada","lead","",""
"w_baro","바로","baro","in a jiff","",""
"w_eoneu","어느","eoneu","Some, a certain","",""
"w_geuraeseo","그래서","geuraeseo","And so accordingly","",""
"w_mueot","무엇","mueot","That thing,whatever","",""
"w_modeun","모든","modeun","Every one","",""
